dpr_activity,normalized_activity,detected_dpr_category,matched_activity,activity_id,project_id,schedule_category,semantic_score,fuzzy_score,category_score,confidence,confidence_gap,status,dpr_Date,dpr_Reported_Activity,dpr_Progress_Percentage
Site cleaning and preparation completed,site preparation completed,site_preparation,Site Preparation - South Section,F06-A004,INFRA-06,Site,72.84,76.19,100.0,77.75,31.42,MATCHED,2026-09-02,Site cleaning and preparation completed,100
Excavation of foundation area in progress,foundation excavation in progress,foundation_excavation,Foundation Excavation - Zone B,F09-A003,INFRA-09,Foundation,81.54,85.71,100.0,85.35,10.24,MATCHED,2026-09-08,Excavation of foundation area in progress,60
Steel reinforcement work for foundation started,reinforcement for foundation started,reinforcement,Foundation Reinforcement - North Section,F03-A023,INFRA-03,Foundation,74.57,81.08,60.0,74.01,16.85,REVIEW,2026-09-15,Steel reinforcement work for foundation started,50
Concrete poured for foundation,concreting for foundation,concreting,Foundation Pedestal Concreting - Chainage 0-500,F08-A013,INFRA-08,Foundation,57.98,91.3,100.0,72.62,0.84,REVIEW,2026-09-20,Concrete poured for foundation,75
Column steel fixing work completed,column reinforcement work completed,column_reinforcement,Structural Column Reinforcement - Package 2,F01-A018,INFRA-01,Structural,73.99,72.73,100.0,77.58,2.82,REVIEW,2026-09-25,Column steel fixing work completed,100
Concrete work for columns started,concreting for columns started,concreting,Foundation Pedestal Concreting - South Section,F06-A021,INFRA-06,Foundation,22.63,54.05,100.0,42.09,0.76,UNMATCHED,2026-09-30,Concrete work for columns started,40
Brick wall construction in progress,brick masonry in progress,masonry,Finishing Masonry Wall Construction - Chainage 500-1000,F03-A011,INFRA-03,Finishing,63.38,43.75,100.0,63.96,14.33,REVIEW,2026-10-05,Brick wall construction in progress,30
Wall plastering work completed,plastering completed,plastering,Finishing Plastering - East Section,F01-A023,INFRA-01,Finishing,74.75,66.67,100.0,76.51,2.45,REVIEW,2026-10-15,Wall plastering work completed,80
Electrical wiring installation started,electrical installation started,electrical,Electrical Earthing Installation - Chainage 0-500,F02-A027,INFRA-02,Electrical,49.23,85.19,100.0,65.83,1.5,REVIEW,2026-10-23,Electrical wiring installation started,50
Building painting work in progress,painting in progress,painting,Finishing Exterior Painting - Phase 3,F01-A029,INFRA-01,Finishing,67.82,57.14,100.0,69.98,3.67,REVIEW,2026-10-30,Building painting work in progress,40
