activity_id,activity_name,category,planned_start,planned_end,planned_duration_days,predecessor,status,planned_quantity_percent,current_actual_percent,unit,project_id,data_type,source_file
F01-A022,Structural Retaining Wall Reinforcement - North Section,Structural,2026-08-08,2026-08-17,10,F01-A016,In Progress,100,33,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A028,Site Clearance - Chainage 0-500,Site,2026-08-08,2026-08-16,9,F01-A018,Completed,100,100,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A018,Structural Column Reinforcement - Package 2,Structural,2026-08-10,2026-08-22,13,F01-A010,Completed,100,98,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A019,Structural Slab Formwork - Phase 2,Structural,2026-08-10,2026-08-12,3,F01-A009,In Progress,100,63,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A024,Utility Utility Chamber Construction - Package 3,Utility,2026-08-10,2026-08-14,5,F01-A014,In Progress,100,54,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A010,Safety Pedestrian Diversion - West Section,Safety,2026-08-12,2026-08-13,2,F01-A009,Completed,100,100,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A001,Site Office Setup - Phase 3,Site,2026-08-15,2026-08-26,12,—,Not Started,100,0,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A011,Quality Material Inspection - Phase 3,Quality,2026-08-16,2026-08-28,13,F01-A006,Completed,100,96,Nos,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A023,Finishing Plastering - East Section,Finishing,2026-08-16,2026-08-29,14,F01-A013,In Progress,100,82,m²,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A026,Quality Pipeline CCTV Inspection - Zone C,Quality,2026-08-18,2026-08-19,2,F01-A003,In Progress,100,65,Nos,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A005,Road Signboard Installation - East Section,Road,2026-08-19,2026-08-19,1,F01-A001,Completed,100,98,Nos,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A015,Road Paver Block Installation - Zone C,Road,2026-08-20,2026-08-20,1,F01-A006,Completed,100,98,Nos,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A016,Utility Water Pipeline Disinfection - Chainage 0-500,Utility,2026-08-20,2026-09-02,14,F01-A014,In Progress,100,58,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A007,Finishing Waterproofing Membrane - Zone B,Finishing,2026-08-21,2026-08-29,9,F01-A004,Completed,100,100,m²,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A021,Utility Sewer Pipeline Trenching - Package 1,Utility,2026-08-21,2026-08-28,8,F01-A017,Completed,100,99,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A003,Site Welfare Facility Setup - Chainage 500-1000,Site,2026-08-22,2026-08-24,3,F01-A001,Not Started,100,0,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A006,Rehabilitation Concrete Rehabilitation - Zone B,Rehabilitation,2026-08-22,2026-08-23,2,F01-A004,Completed,100,96,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A025,Road Road Marking - West Section,Road,2026-08-23,2026-08-26,4,F01-A002,In Progress,100,64,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A009,Site Demobilization - Zone C,Site,2026-08-25,2026-09-02,9,F01-A007,At Risk,100,32,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A002,Quality Concrete Slump Testing - South Section,Quality,2026-08-26,2026-08-27,2,F01-A001,In Progress,100,32,Nos,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
